+--------+-----------+---------------+--------------------------------+
| vundet | nomineret | vinderforhold | navn                           |
|      1 |         1 |        1.0000 | Søren Maagaard Andersen        | 
|      0 |         6 |        0.0000 | Gimle Larsen                   | 
|      0 |         6 |        0.0000 | Lars Konzack                   | 
|      0 |         6 |        0.0000 | Mike Ditlevsen                 | 
|      0 |         5 |        0.0000 | Peter Fallesen                 | 
|      0 |         4 |        0.0000 | Jeppe Norsker                  | 
|      0 |         4 |        0.0000 | Olav Junker Kjær               | 
|      0 |         4 |        0.0000 | Rasmus Knudsen                 | 
|      0 |         3 |        0.0000 | Jacob Holm Krogsøe             | 
|      0 |         3 |        0.0000 | Jonas Arboe Harild             | 
|      0 |         3 |        0.0000 | Jost L. Hansen                 | 
|      0 |         3 |        0.0000 | Merlin P. Mann                 | 
|      0 |         3 |        0.0000 | Michael G. Schmidt             | 
|      0 |         3 |        0.0000 | Morten Lund                    | 
|      0 |         2 |        0.0000 | Andreas Lieberoth              | 
|      0 |         2 |        0.0000 | Anja Kristensen                | 
|      0 |         2 |        0.0000 | Cecilie Balling                | 
|      0 |         2 |        0.0000 | Christian Andersen             | 
|      0 |         2 |        0.0000 | Christian Otkjær               | 
|      0 |         2 |        0.0000 | David Thorhauge                | 
|      0 |         2 |        0.0000 | Dennis Gade Kofod              | 
|      0 |         2 |        0.0000 | Jais Lytje                     | 
|      0 |         2 |        0.0000 | Jesper Jühne                   | 
|      0 |         2 |        0.0000 | Lisa Irene Hau                 | 
|      0 |         2 |        0.0000 | Morten Fredberg-Holm           | 
|      0 |         2 |        0.0000 | Peter K. Madsen                | 
|      0 |         2 |        0.0000 | Rasmus Boldt                   | 
|      0 |         2 |        0.0000 | Rasmus Høgdall Mølgaard        | 
|      0 |         2 |        0.0000 | Simon James Pettitt            | 
|      0 |         2 |        0.0000 | Tim Slumstrup Nielsen          | 
|      0 |         2 |        0.0000 | Tina Arbjørn                   | 
|      0 |         2 |        0.0000 | Ulrik Kristiansen              | 
|      0 |         2 |        0.0000 | Yth Jedrzejczyk                | 
|      0 |         1 |        0.0000 | Adam Bindslev                  | 
|      0 |         1 |        0.0000 | Anders Bo Skov                 | 
|      0 |         1 |        0.0000 | Andrej Tokarcik                | 
|      0 |         1 |        0.0000 | Antonio Blazevic               | 
